cmdCode,commodity,year,world_demand_value
0101,"Horses, asses, mules and hinnies; live",2015,2078770353.112
0101,"Horses, asses, mules and hinnies; live",2016,2033609477.282
0101,"Horses, asses, mules and hinnies; live",2017,2349436056.8710003
0101,"Horses, asses, mules and hinnies; live",2018,2348420851.426
0101,"Horses, asses, mules and hinnies; live",2019,2325524310.17
0101,"Horses, asses, mules and hinnies; live",2020,2113141183.809
0101,"Horses, asses, mules and hinnies; live",2021,2737878693.325
0101,"Horses, asses, mules and hinnies; live",2022,2740373377.5290003
0101,"Horses, asses, mules and hinnies; live",2023,2676564934.128
0101,"Horses, asses, mules and hinnies; live",2024,2791560918.937
0102,Bovine animals; live,2015,7219966180.435
0102,Bovine animals; live,2016,5988303285.865
0102,Bovine animals; live,2017,5927180855.638
0102,Bovine animals; live,2018,6614714507.489
0102,Bovine animals; live,2019,6866461415.025
0102,Bovine animals; live,2020,6476966101.298
0102,Bovine animals; live,2021,5625356970.568
0102,Bovine animals; live,2022,5819213021.036
0102,Bovine animals; live,2023,7110804476.761
0102,Bovine animals; live,2024,8445217914.853
0103,Swine; live,2015,2920473307.387
0103,Swine; live,2016,3088089671.079
0103,Swine; live,2017,3063879283.6549997
0103,Swine; live,2018,2680109075.682
0103,Swine; live,2019,2878165584.029
0103,Swine; live,2020,3129424649.392
0103,Swine; live,2021,3050636639.625
0103,Swine; live,2022,2851312992.675
0103,Swine; live,2023,3116896821.314
0103,Swine; live,2024,3252067284.881
0104,Sheep and goats; live,2015,677469693.174
0104,Sheep and goats; live,2016,636185542.186
0104,Sheep and goats; live,2017,664682224.425
0104,Sheep and goats; live,2018,608948584.012
0104,Sheep and goats; live,2019,626820596.971
0104,Sheep and goats; live,2020,720302728.1029999
0104,Sheep and goats; live,2021,700296821.811
0104,Sheep and goats; live,2022,780226185.777
0104,Sheep and goats; live,2023,834239876.737
0104,Sheep and goats; live,2024,825346779.448
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2015,1917349567.642
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2016,2043489908.011
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2017,2016498506.6239998
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2018,2171572541.259
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2019,2097983818.72
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2020,1974646509.065
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2021,2196916326.566
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2022,2247653865.935
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2023,2315799523.288
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",2024,2328157096.425
0106,"Animals; live, n.e.c. in chapter 01",2015,953682815.739
0106,"Animals; live, n.e.c. in chapter 01",2016,951146622.474
0106,"Animals; live, n.e.c. in chapter 01",2017,993897297.949
0106,"Animals; live, n.e.c. in chapter 01",2018,1034958981.936
0106,"Animals; live, n.e.c. in chapter 01",2019,992392883.467
0106,"Animals; live, n.e.c. in chapter 01",2020,1086286085.437
0106,"Animals; live, n.e.c. in chapter 01",2021,1350741029.63
0106,"Animals; live, n.e.c. in chapter 01",2022,1425448021.8669999
0106,"Animals; live, n.e.c. in chapter 01",2023,1265637853.603
0106,"Animals; live, n.e.c. in chapter 01",2024,1271921930.04
0201,Meat of bovine animals; fresh or chilled,2015,16504634509.369
0201,Meat of bovine animals; fresh or chilled,2016,16088493175.861
0201,Meat of bovine animals; fresh or chilled,2017,16667046804.748
0201,Meat of bovine animals; fresh or chilled,2018,18250443063.206
0201,Meat of bovine animals; fresh or chilled,2019,18507951014.296
0201,Meat of bovine animals; fresh or chilled,2020,18207082085.553
0201,Meat of bovine animals; fresh or chilled,2021,22645909286.935
