gcc_country,dest_country,cmdCode,gcc_exports,world_demand,penetration_pct,commodity
Bahrain,Australia,0106,755.1475,6162427.309,0.01,"Animals; live, n.e.c. in chapter 01"
Bahrain,Australia,0712,68.936,17676140.7,0.0,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared"
Bahrain,Australia,0901,215.426,22811872.310000002,0.0,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion"
Bahrain,Australia,0910,2952.287,11279837.165,0.03,"Ginger, saffron, tumeric (curcuma), thyme, bay leaves, curry and other spices"
Bahrain,Australia,2103,107.713,120855363.3,0.0,"Sauces and preparations therefor; mixed condiments and mixed seasonings, mustard flour and meal and prepared mustard"
Bahrain,Australia,2608,69033.1275,1749791463.5,0.0,Zinc ores and concentrates
Bahrain,Australia,3403,29654.362,30539906.159999996,0.1,Lubricating preparations and those used in oil or grease treatment of textile and similar materials; excluding preparations containing 70% or more (by weight) of petroleum or bituminous mineral oils
Bahrain,Australia,3906,107602.154,31020206.445,0.35,Acrylic polymers in primary forms
Bahrain,Australia,3919,1958.822,37933982.89,0.01,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls"
Bahrain,Australia,3926,125.027,155930420.6,0.0,"Articles of plastics and articles of other materials of heading no. 3901 to 3914, n.e.c. in chapter 39"
Bahrain,Australia,4010,1087.612,29394204.83,0.0,"Conveyor or transmission belts or belting, of vulcanised rubber"
Bahrain,Australia,4407,449.596,47613603.07,0.0,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm"
Bahrain,Australia,4810,3.229,5733786.7295,0.0,"Paper and paperboard, coated one or both sides with kaolin (china clay) or inorganic substances, with binder or not, no other coating, surface coloured or not, surface decorated or printed, in rolls or rectangular (including square) sheets, of any size"
Bahrain,Australia,6105,32645.798,20931607.674999997,0.16,"Shirts; men's or boys', knitted or crocheted"
Bahrain,Australia,6109,10805.379,36475426.985,0.03,"T-shirts, singlets and other vests; knitted or crocheted"
Bahrain,Australia,6110,13720.399,28643620.045,0.05,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted"
Bahrain,Australia,6203,1754.016,30673241.22,0.01,"Suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear); men's or boys' (not knitted or crocheted)"
Bahrain,Australia,6211,2526.846,14847043.559999999,0.02,"Track suits, swimwear and other garments (not knitted or crocheted)"
Bahrain,Australia,6403,8085.612,61332258.44499999,0.01,"Footwear; with outer soles of rubber, plastics, leather or composition leather and uppers of leather"
Bahrain,Australia,6404,4020.984,22712813.34,0.02,"Footwear; with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials"
Bahrain,Australia,6505,43542.766,6888614.0879999995,0.63,"Hats and other headgear; knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed"
Bahrain,Australia,7007,1314.995,5488706.7475000005,0.02,"Safety glass, consisting of toughened (tempered) or laminated glass"
Bahrain,Australia,7009,8724.898000000001,22934849.395,0.04,"Glass mirrors; whether or not framed, including rear-view mirrors"
Bahrain,Australia,7312,79398.651,21971018.045,0.36,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated"
Bahrain,Australia,7318,6782.036,143307848.45,0.0,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel"
Bahrain,Australia,7320,27478.731,26890331.115000002,0.1,"Springs and leaves for springs, of iron or steel"
Bahrain,Australia,7326,204.016,154012102.05,0.0,"Iron or steel; articles, n.e.c. in chapter 73"
Bahrain,Australia,7907,119.335,11387298.261500001,0.0,Zinc; articles n.e.c. in chapter 79
Bahrain,Australia,8204,15.984,8302549.3100000005,0.0,"Tools, hand; hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches), interchangeable spanner sockets, with or without handles"
Bahrain,Australia,8205,3227.7955,48865816.435,0.01,"Tools, hand; (including glaziers' diamonds) n.e.c.; blow lamps; vices, clamps etc, other than accessories for and parts of, machine tools; anvils; portable forges; hand or pedal operated grinding wheels with frameworks"
Bahrain,Australia,8301,796.931,17754436.89,0.0,"Padlocks and locks (key, combination, electrically operated) of base metal; clasps and frames with clasps incorporating locks, of base metal, keys for any or the foregoing articles, of base metal"
Bahrain,Australia,8443,26.676,135098216.6,0.0,"Printing machinery; used for printing by means of plates, cylinders and other printing components of heading 84.42; other printers, copying machines and facsimile machines, whether or not combined; parts and accessories thereof"
Bahrain,Australia,8482,12185.384,31365509.810000002,0.04,Ball or roller bearings
Bahrain,Australia,8483,19074.9335,157303724.35000002,0.01,Transmission shafts (including cam and crank) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers; flywheels and pulleys; clutches and shaft couplings
Bahrain,Australia,8484,19069.997,40028624.445,0.05,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings; mechanical seals"
Bahrain,Australia,8501,890.1865,65488321.245,0.0,Electric motors and generators (excluding generating sets)
Bahrain,Australia,8504,4831.995,195098411.5,0.0,"Electric transformers, static converters (e.g. rectifiers) and inductors"
Bahrain,Australia,8505,4970.117,8333415.931,0.06,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads"
Bahrain,Australia,8507,1998.005,68312699.06,0.0,"Electric accumulators, including separators therefor; whether or not rectangular (including square)"
Bahrain,Australia,8512,31240.735500000003,56306705.775,0.06,"Lighting or visual signalling equipment (excluding articles of heading no. 8539), windscreen wipers, defrosters and demisters; electrical, of a kind used for cycles or motor vehicles"
Bahrain,Australia,8513,290.053,5213538.7425,0.01,"Lamps; portable, electric, designed to function by their own source of energy (e.g. dry batteries, accumulators, magnetos), excluding lighting equipment of heading no. 8512"
Bahrain,Australia,8518,1767.234,235362574.75,0.0,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets"
Bahrain,Australia,8536,6576.7645,227418157.25,0.0,"Electrical apparatus for switching, protecting electrical circuits, for making connections to or in electrical circuits, for a voltage not exceeding 1000 volts; connectors for optical fibres, optical fibre bundles or cables"
Bahrain,Australia,9002,20.0,46417439.33499999,0.0,"Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts or fittings for instruments or apparatus, other than such elements of glass not optically worked"
Bahrain,Australia,9004,10.0,29409852.18,0.0,"Spectacles, goggles and the like; corrective, protective or other"
Bahrain,Australia,9015,300.053,170190934.9,0.0,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders"
Bahrain,Australia,9018,1646.186,509072830.70000005,0.0,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments"
Bahrain,Australia,9019,5501.17,1026094587.05,0.0,"Mechano-therapy, massage appliances; psychological aptitude testing apparatus; ozone, oxygen, aerosol therapy, artificial respiration or other therapeutic respiration apparatus"
Bahrain,Australia,9025,565.106,14029643.685,0.0,"Hydrometers and similar floating instruments, thermometers, pyrometers, barometers, hygrometers and psychrometers, recording or not"
