dest_country,cmdCode,commodity,demand_4y_total,demand_yr1,gcc_2023_exp,uv_mean,uv_cagr,viability_score,grade,penetration_pct,is_saturated,ml_growth_prob,imp_exp_ratio,pen_opportunity,dist_km,dist_sensitivity,weighted_dist_km,hs2,lpi_score,mfn_tariff_rate,demand_4y_total_n,uv_mean_n,viability_score_n,pen_opportunity_n,ml_growth_prob_n,uv_cagr_pos,uv_cagr_n,lpi_n,tariff_n_inv,dist_n_inv,landing_cost_n,opportunity_score,opportunity_rationale,gcc_country,recommended_transport,transport_rationale
USA,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",1013435046161.9597,232165704964.05692,200499059.659,17.859171182658955,12.07,1.0,A+,1.19,False,0.4523425758348948,0.9999999950902065,0.9881,10963.745675354525,1.25,13704.682094193156,87,3.8,4.271428571428571,1.0,0.028968854836168918,0.99999999875,0.9913867313032441,0.33755924480481947,12.07,0.3672041375002372,0.6428571423979591,0.9888640595903456,0.3658217966350268,0.7120010728341807,0.8018773753797969,"large addressable market | low GCC penetration (high entry room) | rising prices (+12%/yr) | stable market (A+ grade) | low landing cost (tariff 4.3%, LPI 3.8)",Bahrain,Sea,"Standard sea freight; low unit value ($17.9/kg), non-perishable, long-haul route (10,964 km)"
Germany,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",780402680886.2324,180090036895.61584,200499059.659,17.859171182658955,12.07,1.0,A+,1.19,False,0.45507215451709687,0.9999999950902065,0.9881,4255.625774891001,1.25,5319.532218613751,87,4.1,7.049183673469388,0.7700569293960904,0.028968854836168918,0.99999999875,0.9913867313032441,0.34207274314489816,12.07,0.3672041375002372,0.8571428565306121,0.9816222399574834,0.756613007021302,0.8818021475240331,0.770313118766305,"large addressable market | low GCC penetration (high entry room) | rising prices (+12%/yr) | stable market (A+ grade) | low landing cost (tariff 7.0%, LPI 4.1)",Bahrain,Sea,"Standard sea freight; low unit value ($17.9/kg), non-perishable, long-haul route (4,256 km)"
China,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",585034588533.7451,110711414388.60379,200499059.659,17.859171182658955,12.07,1.0,A+,1.19,False,0.4348447188382064,0.9999999950902065,0.9881,6179.073146008318,1.25,7723.841432510398,87,3.7,12.212346938775509,0.5772788189374641,0.028968854836168918,0.99999999875,0.9913867313032441,0.30862564086643673,12.07,0.3672041375002372,0.5714285710204083,0.9681614791168693,0.6445598032284932,0.7484045423110139,0.6987642401418496,"low GCC penetration (high entry room) | rising prices (+12%/yr) | stable market (A+ grade) | low landing cost (tariff 12.2%, LPI 3.7)",Bahrain,Sea,"Standard sea freight; low unit value ($17.9/kg), non-perishable, long-haul route (6,179 km)"
Singapore,8411,"Turbo-jets, turbo-propellers and other gas turbines",91699687159.59576,20932953363.044346,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.5165354798520319,0.999999996438682,0.979,6319.980856175579,1.25,7899.9760702194735,84,4.3,0.0,0.09048402576001781,0.999999999998364,0.99999999875,0.9521963783281809,0.44370550379173296,32.87,0.9999999999695772,0.9999999992857143,1.0,0.6363510211217187,0.9090877550304297,0.6937939954883513,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 0.0%, LPI 4.3)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
United Kingdom,8411,"Turbo-jets, turbo-propellers and other gas turbines",205386601180.8072,44209148876.75118,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.45104486434194924,0.999999996438682,0.979,5080.4080606749285,1.25,6350.51007584366,84,3.7,0.5294423791821561,0.20266379987246347,0.999999999998364,0.99999999875,0.9521963783281809,0.3354134122968569,32.87,0.9999999999695772,0.5714285710204083,0.9986197032945008,0.708564124092959,0.776588912198183,0.691134903442138,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 0.5%, LPI 3.7)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Germany,8411,"Turbo-jets, turbo-propellers and other gas turbines",40990752379.5271,9034511734.700104,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.5912346571833587,0.999999996438682,0.979,4255.625774891001,1.25,5319.532218613751,84,4.1,1.7803903345724907,0.04044733597838214,0.999999999998364,0.99999999875,0.9521963783281809,0.5672244245279507,32.87,0.9999999999695772,0.8571428565306121,0.9953583864648138,0.756613007021302,0.8872966061269653,0.6903680427810444,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 1.8%, LPI 4.1)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
USA,8411,"Turbo-jets, turbo-propellers and other gas turbines",156514886989.57703,34059446519.84791,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.46724892225797543,0.999999996438682,0.979,10963.745675354525,1.25,13704.682094193156,84,3.8,1.3642936802973977,0.154439974767691,0.999999999998364,0.99999999875,0.9521963783281809,0.36220765310163944,32.87,0.9999999999695772,0.6428571423979591,0.9964431822115244,0.3658217966350268,0.7150327218826521,0.6725249426990935,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 1.4%, LPI 3.8)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Japan,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",441547413834.18317,108274113912.85172,200499059.659,17.859171182658955,12.07,1.0,A+,1.19,False,0.4394557067101871,0.9999999950902065,0.9881,8274.580008593974,1.25,10343.225010742466,87,3.9,0.08571428571428572,0.4356938442338085,0.028968854836168918,0.99999999875,0.9913867313032441,0.316250145791687,12.07,0.3672041375002372,0.7142857137755102,0.9997765363128498,0.5224830253304105,0.7805313706791711,0.6689494712136842,"low GCC penetration (high entry room) | rising prices (+12%/yr) | stable market (A+ grade) | low landing cost (tariff 0.1%, LPI 3.9)",Bahrain,Sea,"Standard sea freight; low unit value ($17.9/kg), non-perishable, long-haul route (8,275 km)"
Switzerland,8411,"Turbo-jets, turbo-propellers and other gas turbines",6666154524.325678,1274746067.7528236,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.4900349206208908,0.999999996438682,0.979,4417.145069062916,1.25,5521.431336328646,84,4.1,0.0,0.006577777049386926,0.999999999998364,0.99999999875,0.9521963783281809,0.39988546999647434,32.87,0.9999999999695772,0.8571428565306121,1.0,0.7472034673280985,0.8868008666177389,0.6650923966692639,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 0.0%, LPI 4.1)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Norway,8411,"Turbo-jets, turbo-propellers and other gas turbines",10300793125.106733,1633146550.8238535,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.5453104740082987,0.999999996438682,0.979,4820.457772966406,1.25,6025.572216208007,84,3.7,0.0,0.010164231486349835,0.999999999998364,0.99999999875,0.9521963783281809,0.491286432382261,32.87,0.9999999999695772,0.5714285710204083,1.0,0.7237079034351939,0.7809269757159414,0.6592480228818138,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 0.0%, LPI 3.7)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
