gcc_country,cmdCode
Bahrain,3812
Bahrain,9026
Bahrain,8473
Bahrain,7304
Bahrain,8414
Bahrain,7203
Bahrain,8901
Bahrain,8409
Bahrain,4016
Bahrain,7411
Bahrain,3920
Bahrain,8471
Bahrain,0402
Bahrain,2201
Bahrain,2002
Bahrain,0406
Bahrain,3307
Bahrain,6506
Bahrain,7019
Bahrain,8528
Bahrain,6907
Bahrain,8517
Bahrain,8431
Bahrain,7614
Bahrain,7301
Bahrain,8455
Bahrain,3917
Bahrain,6813
Bahrain,8544
Bahrain,3606
Bahrain,7601
Bahrain,8413
Bahrain,0403
Bahrain,3303
Bahrain,7606
Bahrain,6204
Bahrain,2818
Bahrain,9102
Bahrain,2814
Bahrain,8481
Bahrain,8538
Bahrain,3401
Bahrain,7308
Bahrain,8703
Bahrain,8702
Bahrain,7303
Bahrain,7207
Bahrain,5208
Bahrain,9101
Bahrain,8907
Bahrain,4008
Bahrain,8479
Bahrain,6206
Bahrain,7216
Bahrain,2106
Bahrain,6104
Bahrain,3402
Bahrain,3214
Bahrain,8302
Bahrain,8537
Bahrain,8429
Bahrain,9403
Bahrain,2601
Bahrain,3923
Bahrain,4202
Bahrain,8411
Bahrain,8903
Bahrain,7602
Bahrain,6302
Bahrain,8511
Bahrain,7307
Bahrain,8807
Bahrain,8422
Bahrain,4707
Bahrain,8607
Bahrain,2202
Bahrain,1904
Bahrain,4009
Bahrain,4415
Bahrain,8708
Bahrain,7603
Bahrain,4818
Bahrain,8415
Bahrain,7309
Bahrain,8421
Bahrain,7604
Bahrain,2402
Bahrain,7607
Bahrain,8475
Bahrain,2905
Bahrain,2208
Bahrain,7605
Bahrain,0306
Bahrain,3208
Bahrain,7404
Bahrain,4011
Bahrain,8426
Bahrain,8418
Bahrain,3925
Bahrain,3002
Bahrain,8704
Bahrain,7204
Bahrain,1905
Bahrain,8407
Bahrain,7616
Bahrain,9619
Bahrain,8523
Bahrain,3102
Bahrain,0713
Kuwait,8430
Kuwait,7208
Kuwait,1704
Kuwait,2008
