gcc_country,dest_country,cmdCode,commodity,opportunity_score,opportunity_rationale,demand_4y_total,demand_yr1,penetration_pct,pen_opportunity,viability_score,grade,ml_growth_prob,uv_mean,uv_cagr,mfn_tariff_rate,lpi_score,dist_km,weighted_dist_km,landing_cost_n,reexport_filter_method
Oman,Singapore,8805,"Aircraft launching gear, deck-arrestor or similar gear, ground flying trainers; parts of the foregoing articles",0.6041825029111791,"low GCC penetration (high entry room) | rising prices (+37%/yr) | premium unit value ($1216/kg) | stable market (A grade) | low landing cost (tariff 0.0%, LPI 4.3)",72148808.15995261,20823427.26049087,7.12,1.0,0.887875,A,0.44683395822842914,1215.7780091072414,36.52,0.0,4.3,5463.8922282930225,5463.8922282930225,0.941879647535436,filtered
Oman,United Arab Emirates,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",0.5906138480940765,"low GCC penetration (high entry room) | rising prices (+16%/yr) | stable market (A grade) | proximity advantage (1.5x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",323750305.6638962,79201499.3614606,3.84,1.0,0.8436250000000002,A,0.639244278271993,1.1447001483933077,15.91,4.801974286720676,4.0,438.48270370145906,657.7240555521886,0.936554999032728,filtered
United Arab Emirates,Singapore,7316,"Anchors, grapnels and parts thereof, of iron or steel",0.5899197746787589,"low GCC penetration (high entry room) | stable market (A grade) | low landing cost (tariff 0.0%, LPI 4.3)",23765771.570982385,6748540.758798709,3.15,1.0,0.887875,A,0.5560274521509806,2.1514513456846633,3.53,0.0,4.3,5899.340485303137,4129.538339712196,0.9549753000002885,filtered
Saudi Arabia,United Arab Emirates,6303,Curtains (including drapes) and interior blinds; curtain or bed valances,0.5841324844036494,"low GCC penetration (high entry room) | rising prices (+26%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",138614359.76090348,35092979.33681208,5.19,1.0,0.8436250000000002,A,0.581559956073761,11.570221563420699,26.38,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Saudi Arabia,United Arab Emirates,6506,"Headgear; n.e.c. in chapter 65, whether or not lined or trimmed",0.5816288531491149,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",88429714.51797199,21435587.109455675,6.89,1.0,0.8436250000000002,A,0.5879526535669962,33.92737148144252,-0.42,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Bahrain,United Arab Emirates,8480,"Moulding boxes for metal foundry, moulding patterns, moulds for metals (excluding ingot moulds), metal carbides, glass, mineral materials, rubber or plastics",0.5812173004615004,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",133424492.96903396,34098208.91131843,3.56,1.0,0.8436250000000002,A,0.5761004686355591,16.385727966901978,6.74,4.801974286720676,4.0,426.25749275648013,532.8218659456002,0.9354330558934079,filtered
Oman,United Arab Emirates,6801,"Stone; setts, curbstones and flagstones, of natural stone (except slate)",0.5783313645781338,"low GCC penetration (high entry room) | rising prices (+8%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",60136212.18387918,17002611.248952523,3.48,1.0,0.8436250000000002,A,0.5398630301157633,0.19939215261578414,8.41,4.801974286720676,4.0,438.48270370145906,438.48270370145906,0.9390259118568972,filtered
Oman,United Arab Emirates,2912,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",0.5781156511481942,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",69888050.74634054,18387900.019248556,12.98,1.0,0.8436250000000002,A,0.5513066252072653,2.0415330336984354,-16.08,4.801974286720676,4.0,438.48270370145906,438.48270370145906,0.9390259118568972,filtered
Oman,United Arab Emirates,8805,"Aircraft launching gear, deck-arrestor or similar gear, ground flying trainers; parts of the foregoing articles",0.5777510859052475,"low GCC penetration (high entry room) | rising prices (+37%/yr) | premium unit value ($1216/kg) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",86015802.91832629,24914965.210363932,11.34,1.0,0.8436250000000002,A,0.3423701624075572,1215.7780091072414,36.52,4.801974286720676,4.0,438.48270370145906,438.48270370145906,0.9390259118568972,filtered
Saudi Arabia,United Arab Emirates,1805,"Cocoa; powder, not containing added sugar or other sweetening matter",0.577592881419567,"low GCC penetration (high entry room) | rising prices (+11%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",41636156.37633467,9476108.284212884,6.28,1.0,0.8436250000000002,A,0.5406114459037781,3.5461258255191503,11.04,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
